id,created,superceded_id,valid,connection_score,cleft_score,gaba,ach,glut,oct,ser,da,valid_nt,pre_pt_supervoxel_id,pre_pt_root_id,post_pt_supervoxel_id,post_pt_root_id,pre_pt_position,post_pt_position
236727507,2021-03-09 20:14:58.183080+00:00,,True,161.76443,18.0,0.071052924,0.6932004,0.17347455,0.00800867,0.009014984,0.045248494,True,78465891738143561,720575940642352117,78465891738145715,720575940614715295,[458340 305880 120120],[458232 305792 120080]
236727427,2021-03-09 20:14:58.183080+00:00,,True,417.35837,0.0,0.06882597,0.7476058,0.09733571,0.01174177,0.020157106,0.05433371,True,78465891738118979,720575940625095813,78465891738134675,720575940643141024,[457840 306416 119400],[457736 306484 119400]
236727433,2021-03-09 20:14:58.183080+00:00,,True,294.03864,0.0,0.030032817,0.65420127,0.111505955,0.11295007,0.014877316,0.07643257,True,78465891738128537,720575940625095813,78465891738122427,720575940613307033,[457764 305916 119440],[457728 305812 119400]
236727447,2021-03-09 20:14:58.183080+00:00,,True,102.32851,0.0,0.079356536,0.6741654,0.10664475,0.007565752,0.06403898,0.068228565,True,78465891738124993,720575940625095813,78465891738134675,720575940643141024,[457868 306428 119520],[457816 306544 119480]
236727485,2021-03-09 20:14:58.183080+00:00,,True,34.74487,0.0,0.045279156,0.06587949,0.7542593,0.00980318,0.07060248,0.054176465,True,78465891738137080,720575940625095813,78465891738135892,720575940643141024,[457548 306424 119760],[457540 306512 119760]
236727484,2021-03-09 20:14:58.183080+00:00,,True,160.23297,156.0,0.025349485,0.6581493,0.24705347,0.009895069,0.05793144,0.0016212148,True,78465823018655331,720575940610146713,78465823018675324,720575940660235649,[458152 304648 119680],[458148 304632 119760]
236727448,2021-03-09 20:14:58.183080+00:00,,True,40.735054,1.0,0.022575626,0.20478772,0.08662682,0.026038257,0.05062683,0.6093447,True,78465823018660399,720575940610146713,78465823018662867,720575940644473760,[457928 304176 119480],[457992 304184 119520]
236727513,2021-03-09 20:14:58.183080+00:00,,True,18.22316,92.0,0.036321767,0.86191666,0.047586516,0.009425957,0.015024818,0.029724313,True,78465891738143561,720575940642352117,78465891738145754,720575940619334461,[458248 305876 120160],[458176 305752 120120]
236727515,2021-03-09 20:14:58.183080+00:00,,True,82.89535,139.0,0.09931458,0.27546018,0.18750297,0.035054922,0.08503827,0.31762907,True,78465891738143561,720575940642352117,78465891738145754,720575940619334461,[458240 305892 120200],[458196 305756 120160]
236727516,2021-03-09 20:14:58.183080+00:00,,True,220.28894,24.0,0.050091542,0.59501284,0.0903164,0.062327825,0.06914407,0.13310732,True,78465891738149677,720575940642352117,78465891738152048,720575940619335229,[458128 305904 120200],[458096 305812 120200]
236727524,2021-03-09 20:14:58.183080+00:00,,True,63.142605,139.0,0.054653954,0.74878186,0.07534496,0.015295418,0.019396408,0.08652738,True,78465891738143561,720575940642352117,78465891738145754,720575940619334461,[458280 305888 120160],[458224 305780 120200]
236727542,2021-03-09 20:14:58.183080+00:00,,True,43.562157,0.0,0.3993508,0.083587445,0.4908958,0.0047221454,0.0088650035,0.012578724,True,78465891738155425,720575940607140035,78465891738155312,720575940607140035,[455644 305688 120360],[455556 305732 120400]
222777695,2021-03-09 20:14:58.183080+00:00,,True,60.43308,0.0,0.6696055,0.27394703,0.01069191,1.5537118e-05,0.04516951,0.0005704873,True,81773222714359416,720575940615041064,81773222714340474,720575940615100211,[647960 308008 115480],[647832 308052 115480]
222789270,2021-03-09 20:14:58.183080+00:00,,True,66.479614,0.0,0.42964873,0.3791377,0.08474211,0.0012419813,0.095008306,0.010221154,True,81773222714337924,720575940615041064,81773222714330093,720575940615100211,[648232 307972 115160],[648192 308072 115040]
236410064,2021-03-09 20:14:58.183080+00:00,,True,46.443237,0.0,0.20793445,0.11427902,0.5432168,0.04101551,0.059681483,0.033872668,True,77902392028913470,720575940606871497,77902392028913470,720575940606871497,[425408 276868 119560],[425304 276824 119600]
236410112,2021-03-09 20:14:58.183080+00:00,,True,105.94447,55.0,0.08600657,0.5674231,0.0817859,0.0047232592,0.13806888,0.1219923,True,77902460748434612,720575940644057635,77902460748411920,720575940609673369,[425296 277772 120360],[425144 277704 120280]
236410118,2021-03-09 20:14:58.183080+00:00,,True,322.05313,0.0,0.05222988,0.09938117,0.059834052,0.1333387,0.42840365,0.2268125,True,77902460748420213,720575940644057635,77902460748411920,720575940609673369,[425264 277588 120360],[425148 277624 120360]
236410165,2021-03-09 20:14:58.183080+00:00,,True,219.71156,0.0,0.09973312,0.10650059,0.12583314,0.16959006,0.3981219,0.100221224,True,77902460748421642,720575940644057635,77902460748432053,720575940652813217,[425224 278008 120760],[425280 278108 120720]
236410136,2021-03-09 20:14:58.183080+00:00,,True,27.890081,0.0,0.017958209,0.009447354,0.13289782,0.52429223,0.1647854,0.15061897,True,77902460748420213,720575940644057635,77902460748424437,720575940616750441,[425104 277528 120440],[424980 277552 120440]
236410159,2021-03-09 20:14:58.183080+00:00,,True,5.7169147,0.0,0.19325835,0.04514372,0.15547732,0.3923333,0.17455347,0.039233852,True,77902460748438606,720575940644057635,77902460748417612,720575940644057635,[425004 277912 120640],[424976 277960 120640]
236410177,2021-03-09 20:14:58.183080+00:00,,True,823.38153,3.0,0.06519447,0.65502465,0.15158,0.0045954105,0.040672064,0.08293338,True,77902460748421665,720575940644057635,77902460748432040,720575940616750441,[425596 278180 120880],[425536 278072 120840]
192379846,2021-03-09 20:14:58.183080+00:00,,True,262.36835,90.0,0.0010619892,0.98938423,7.497775e-06,4.922303e-06,0.005711211,0.003830163,True,78676929318301528,720575940620444654,78676929318290624,720575940622650582,[466676 303292 140240],[466732 303172 140240]
